what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1431696732384
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1431696732494
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1431696733285
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1431696734701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431696734905
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1431696736754
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1431696737188
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1431696737799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431696738587
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1431696738639
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1431696738639
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1431696739971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431696746297
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431697904740
executed,command,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1431697904782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431697907245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431697909000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1431697909008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431697928136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431697986366
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431698050882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1431698054849
